Druck in mbar;Zählrate;Channel ;Energie in MeV;Maximum;Effektive Länge
0;31206;830;4.0000;109;0.0000
50;30522;768;3.7012;125;0.0022
100;30102;745;3.5904;121;0.0044
150;29734;675;3.2530;137;0.0067
200;29168;668;3.2193;146;0.0089
250;28700;631;3.0410;147;0.0111
300;28323;559;2.6940;159;0.0133
350;27222;536;2.5831;155;0.0155
400;26401;463;2.2313;162;0.0178
450;25624;412;1.9855;162;0.0200
500;22454;367;1.7687;168;0.0222
550;16202;295;1.4217;162;0.0244
600;3458;271;1.3060;76;0.0267
650;107;286;1.3783;6;0.0289
700;7;462;2.2265;1;0.0311
750;1;315;1.5181;1;0.0333
800;0;0;0.0000;0;0.0355
